Landscape,ForestCover,Point,Forest300,Dist,coffee300,Branch,BranchReplicate,TotalFruits,CBB,Sub_Fruto,Bean,BeanSize,BeanDamage,BeanDamage_Percentage,Adults,Brood,id
P9,13.59,30,14.99,5,55.58,T,T4,36,17,7,a,10,10,100,0,0,P9_30_T4
P9,13.59,30,14.99,5,55.58,T,T4,36,17,7,b,10,10,100,0,0,P9_30_T4
P9,13.59,30,14.99,5,55.58,T,T4,36,17,8,a,11,11,100,0,0,P9_30_T4
P9,13.59,30,14.99,5,55.58,T,T4,36,17,8,b,11,11,100,0,0,P9_30_T4
P9,13.59,30,14.99,5,55.58,T,T4,36,17,9,a,11,11,100,0,0,P9_30_T4
P9,13.59,30,14.99,5,55.58,T,T4,36,17,9,b,11,11,100,0,0,P9_30_T4
P9,13.59,30,14.99,5,55.58,T,T4,36,17,10,a,12,12,100,0,0,P9_30_T4
P9,13.59,30,14.99,5,55.58,T,T4,36,17,10,b,12,12,100,0,0,P9_30_T4
P9,13.59,30,14.99,5,55.58,T,T4,36,17,11,a,10,10,100,0,0,P9_30_T4
P9,13.59,30,14.99,5,55.58,T,T4,36,17,11,b,NA,NA,NA,0,0,P9_30_T4
P9,13.59,30,14.99,5,55.58,T,T4,36,17,12,a,11,11,100,0,0,P9_30_T4
P9,13.59,30,14.99,5,55.58,T,T4,36,17,12,b,11,11,100,0,0,P9_30_T4
P9,13.59,30,14.99,5,55.58,T,T4,36,17,13,a,11,11,100,0,0,P9_30_T4
P9,13.59,30,14.99,5,55.58,T,T4,36,17,13,b,11,11,100,0,0,P9_30_T4
P9,13.59,30,14.99,5,55.58,T,T4,36,17,14,a,10,10,100,0,0,P9_30_T4
P9,13.59,30,14.99,5,55.58,T,T4,36,17,14,b,10,10,100,0,0,P9_30_T4
P9,13.59,30,14.99,5,55.58,T,T4,36,17,15,a,11,11,100,0,0,P9_30_T4
P9,13.59,30,14.99,5,55.58,T,T4,36,17,15,b,11,11,100,0,0,P9_30_T4
P9,13.59,30,14.99,5,55.58,T,T4,36,17,16,a,10,10,100,0,0,P9_30_T4
P9,13.59,30,14.99,5,55.58,T,T4,36,17,16,b,10,10,100,0,0,P9_30_T4
P9,13.59,30,14.99,5,55.58,T,T4,36,17,17,a,9,9,100,0,0,P9_30_T4
P9,13.59,30,14.99,5,55.58,T,T4,36,17,17,b,9,9,100,0,0,P9_30_T4
P9,13.59,30,14.99,5,55.58,T,T5,28,9,1,a,11,5,45.45454545,1,0,P9_30_T5
P9,13.59,30,14.99,5,55.58,T,T5,28,9,1,b,11,0,0,0,0,P9_30_T5
P9,13.59,30,14.99,5,55.58,T,T5,28,9,2,a,12,2,16.66666667,1,0,P9_30_T5
P9,13.59,30,14.99,5,55.58,T,T5,28,9,2,b,12,0,0,0,0,P9_30_T5
P9,13.59,30,14.99,5,55.58,T,T5,28,9,3,a,10,2,20,1,0,P9_30_T5
P9,13.59,30,14.99,5,55.58,T,T5,28,9,3,b,10,0,0,0,0,P9_30_T5
P9,13.59,30,14.99,5,55.58,T,T5,28,9,4,a,11,2,18.18181818,1,0,P9_30_T5
P9,13.59,30,14.99,5,55.58,T,T5,28,9,4,b,11,0,0,0,0,P9_30_T5
P9,13.59,30,14.99,5,55.58,T,T5,28,9,5,a,11,5,45.45454545,1,1,P9_30_T5
P9,13.59,30,14.99,5,55.58,T,T5,28,9,5,b,12,0,0,0,0,P9_30_T5
P9,13.59,30,14.99,5,55.58,T,T5,28,9,6,a,10,5,50,0,1,P9_30_T5
P9,13.59,30,14.99,5,55.58,T,T5,28,9,6,b,10,0,0,0,0,P9_30_T5
P9,13.59,30,14.99,5,55.58,T,T5,28,9,7,a,11,9,81.81818182,0,1,P9_30_T5
P9,13.59,30,14.99,5,55.58,T,T5,28,9,7,b,11,0,0,0,0,P9_30_T5
P9,13.59,30,14.99,5,55.58,T,T5,28,9,8,a,11,4,36.36363636,1,0,P9_30_T5
P9,13.59,30,14.99,5,55.58,T,T5,28,9,8,b,11,0,0,0,0,P9_30_T5
P9,13.59,30,14.99,5,55.58,T,T5,28,9,9,a,10,10,100,11,1,P9_30_T5
P9,13.59,30,14.99,5,55.58,T,T5,28,9,9,b,10,10,100,0,0,P9_30_T5
P9,13.59,30,14.99,5,55.58,T,T6,32,1,1,a,11,0,0,0,0,P9_30_T6
P9,13.59,30,14.99,5,55.58,T,T6,32,1,1,b,11,0,0,0,0,P9_30_T6
P9,13.59,30,14.99,5,55.58,T,T7,19,1,1,a,12,5,41.66666667,1,0,P9_30_T7
P9,13.59,30,14.99,5,55.58,T,T7,19,1,1,b,12,0,0,0,0,P9_30_T7
P9,13.59,30,14.99,5,55.58,T,T9,31,6,1,a,9,9,100,0,0,P9_30_T9
P9,13.59,30,14.99,5,55.58,T,T9,31,6,1,b,11,11,100,0,0,P9_30_T9
P9,13.59,30,14.99,5,55.58,T,T9,31,6,2,a,9,9,100,0,0,P9_30_T9
P9,13.59,30,14.99,5,55.58,T,T9,31,6,2,b,9,9,100,0,0,P9_30_T9
P9,13.59,30,14.99,5,55.58,T,T9,31,6,3,a,9,9,100,0,0,P9_30_T9
P9,13.59,30,14.99,5,55.58,T,T9,31,6,3,b,9,9,100,0,0,P9_30_T9
P9,13.59,30,14.99,5,55.58,T,T9,31,6,4,a,10,10,100,0,0,P9_30_T9
P9,13.59,30,14.99,5,55.58,T,T9,31,6,4,b,10,10,100,0,0,P9_30_T9
P9,13.59,30,14.99,5,55.58,T,T9,31,6,5,a,10,10,100,0,0,P9_30_T9
P9,13.59,30,14.99,5,55.58,T,T9,31,6,5,b,10,10,100,0,0,P9_30_T9
P9,13.59,30,14.99,5,55.58,T,T9,31,6,6,a,8,8,100,0,0,P9_30_T9
P9,13.59,30,14.99,5,55.58,T,T9,31,6,6,b,8,8,100,0,0,P9_30_T9
P9,13.59,30,14.99,5,55.58,T,T10,16,1,1,a,10,10,100,1,1,P9_30_T10
P9,13.59,30,14.99,5,55.58,T,T10,16,1,1,b,10,0,0,0,0,P9_30_T10
P9,13.59,30,14.99,5,55.58,C,C1,33,1,1,a,11,9,81.81818182,2,1,P9_30_C1
P9,13.59,30,14.99,5,55.58,C,C1,33,1,1,b,11,0,0,0,0,P9_30_C1
P9,13.59,30,14.99,5,55.58,C,C2,24,1,1,a,10,10,100,12,0,P9_30_C2
P9,13.59,30,14.99,5,55.58,C,C2,24,1,1,b,10,10,100,0,0,P9_30_C2
P9,13.59,30,14.99,5,55.58,C,C4,30,2,1,a,12,7,58.33333333,0,1,P9_30_C4
P9,13.59,30,14.99,5,55.58,C,C4,30,2,1,b,12,0,0,0,0,P9_30_C4
P9,13.59,30,14.99,5,55.58,C,C4,30,2,2,a,11,4,36.36363636,0,0,P9_30_C4
P9,13.59,30,14.99,5,55.58,C,C4,30,2,2,b,11,0,0,0,0,P9_30_C4
P9,13.59,30,14.99,5,55.58,C,C5,13,1,1,a,11,5,45.45454545,1,1,P9_30_C5
P9,13.59,30,14.99,5,55.58,C,C5,13,1,1,b,11,0,0,0,0,P9_30_C5
P9,13.59,30,14.99,5,55.58,C,C6,47,1,1,a,10,4,40,1,1,P9_30_C6
P9,13.59,30,14.99,5,55.58,C,C6,47,1,1,b,10,0,0,0,0,P9_30_C6
P9,13.59,30,14.99,5,55.58,C,C7,59,1,1,a,9,6,66.66666667,1,1,P9_30_C7
P9,13.59,30,14.99,5,55.58,C,C7,59,1,1,b,9,0,0,0,0,P9_30_C7
P9,13.59,30,14.99,5,55.58,C,C9,58,5,1,a,10,10,100,0,0,P9_30_C9
P9,13.59,30,14.99,5,55.58,C,C9,58,5,1,b,10,10,100,0,0,P9_30_C9
P9,13.59,30,14.99,5,55.58,C,C9,58,5,2,a,10,0,0,0,0,P9_30_C9
